epoch,step,train_MulticlassAccuracy,train_MulticlassF1Score,train_loss,val_MulticlassAccuracy,val_MulticlassF1Score,val_loss
0,99,0.97705078125,0.9615147113800049,0.27500975131988525,,,
0,199,0.97412109375,0.9383659958839417,0.27635568380355835,,,
0,299,0.9716796875,0.9666658043861389,0.2458857297897339,,,
0,389,,,,0.9775264263153076,0.9497267603874207,0.1939210146665573
1,399,0.9853515625,0.9671353697776794,0.09758596122264862,,,
1,499,0.98046875,0.9592251777648926,0.1178094670176506,,,
1,599,0.9853515625,0.9628639221191406,0.0772637277841568,,,
1,699,0.9814453125,0.9585369825363159,0.13593554496765137,,,
1,779,,,,0.9741853475570679,0.9439087510108948,0.22429487109184265
2,799,0.99267578125,0.9914760589599609,0.02764175646007061,,,
2,899,0.9951171875,0.9955379366874695,0.027691399678587914,,,
2,999,0.98779296875,0.9865967631340027,0.05095957964658737,,,
2,1099,0.990234375,0.9880663156509399,0.050961028784513474,,,
2,1169,,,,0.971174418926239,0.9377714395523071,0.25613051652908325
